,neighbhood,nameAr,lat,lng,types,rating,user_ratings_total,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,isSuccessful,neighbhood_id,CompNum
37,al hamra,الحمراء,24.790733,46.740697,Coffee,4,215,True,True,1,20,20,17,20,5,1,86,26
38,al ulaya,العليا,24.7144375,46.6768125,Coffee,4,442,True,True,0,20,20,20,20,7,1,118,43
39,az zahrah,الزهرة,24.5757167,46.6511615,Restaurants,4,441,True,True,0,20,8,1,1,5,0,81,17
40,al wazarat,الوزارات,24.6680857,46.71173839999999,Restaurants,3,217,True,True,1,20,17,20,20,10,1,52,24
41,ar rawabi,الروابي,24.6817172,46.7851377,Coffee,3,438,True,True,1,20,11,14,16,7,0,12,10
42,al malqa,الملقا,24.7767384,46.62936209999999,Restaurants,3,437,True,True,0,20,20,17,19,8,1,33,20
43,an nuzhah,النزهة,24.7569547,46.6971608,Coffee,4,433,True,True,0,20,20,9,17,8,1,36,19
44,ar rawdah,الروضة,24.7366381,46.7798939,Coffee,4,432,True,True,0,20,12,14,6,11,0,56,33
45,al hazm,الحزم,24.5449422,46.6538735,Restaurants,3,426,True,True,0,16,1,2,7,2,0,94,18
46,as sulai,السلي,24.6547371,46.8140769,Restaurants,4,425,False,True,0,12,20,7,0,0,0,59,3
47,al muruj,المروج,24.7563852,46.6679296,Restaurants,4,219,True,True,1,20,20,18,20,7,1,76,18
48,as safarat,السفارات,24.6907229,46.6279923,Coffee,4,424,True,True,0,16,10,14,6,19,0,88,19
49,al yarmuk,اليرموك,24.7938982,46.77485619999999,Coffee,4,423,True,True,0,20,20,13,17,5,1,78,13
50,al marwah,المروة,24.5461948,46.6653764,Coffee,4,420,True,True,0,13,6,5,8,2,0,1,19
51,al khalij,الخليج,24.7641803,46.8099532,Restaurants,3,220,True,True,1,20,13,15,15,4,0,32,19
52,ghirnatah,غرناطة,24.7941517,46.7479654,Coffee,4,418,False,True,0,20,20,16,20,9,1,22,23
53,an narjis,النرجس,24.8875723,46.6077246,Restaurants,3,417,True,True,0,18,14,9,3,0,0,48,9
54,an nafl,النفل,24.7862262,46.6815392,Coffee,4,227,True,True,1,20,20,8,17,6,1,18,34
55,dhahrat namar,ظهرة نمار,24.5692529,46.6359751,Restaurants,4,413,True,True,0,20,7,3,9,5,0,68,20
56,al malaz,الملز,24.674433,46.744586,Restaurants,4,228,False,True,1,20,20,20,16,14,1,99,23
57,al mansurah,المنصورة,24.6030986,46.7417093,Coffee,4,235,True,True,1,20,15,18,20,3,0,91,22
58,ar rabi,الربيع,24.7917346,46.6722946,Coffee,4,785,True,True,0,20,20,10,15,8,1,68,36
59,al ulaya,العليا,24.6989658,46.6704932,Coffee,4,976,True,True,0,20,20,20,20,4,1,48,40
60,hittin,حطين,24.764231,46.5892682,Coffee,4,235,True,True,1,10,10,10,3,1,0,109,6
61,al uraija al gharbiyah,العريجاء الغربية,24.5960053,46.5857397,Coffee,4,413,True,True,0,20,7,1,4,0,0,98,6
