,nameAr,neighbhood,nameEn,cityId,neCoordinates,swCoordinates
2035,الروابي,Ar Rawabi,ar rawabi,6,"21.42236586,39.84335631","21.39756257,39.82639847"
2036,العمرة الجديدة,Al Umrah Al Jadidah,al umrah al jadidah,6,"21.60870450,39.85729079","21.51423069,39.76828523"
2037,السلامة,As Salamah,as salamah,6,"21.51725406,39.79340329","21.41410269,39.60511519"
2038,البحيرات,Al Buhayrat,al buhayrat,6,"21.52380493,39.80786521","21.45408582,39.70115200"
2039,النوارية,An Nawwariyah,an nawwariyah,6,"21.58410441,39.79219738","21.48558799,39.68885260"
2040,الشهداء,Ash Shuhada,ash shuhada,6,"21.46382125,39.81827110","21.44773982,39.79736523"
2041,وادي جليل,Wadi Jalil,wadi jalil,6,"21.51929128,39.89051223","21.45084162,39.83232849"
2042,العسيلة,Al Usaylah,al usaylah,6,"21.56901589,39.91304592","21.46097480,39.83173854"
2043,الصفاه الشمالي,As Safah Al Shimali,as safah al shimali,2268,"29.85272215,39.86345417","29.83275756,39.84691918"
2044,البحيرات,Al Buhayrat,al buhayrat,2268,"29.85228017,39.88512113","29.82541504,39.86004461"
2045,الصفاه الجنوبي,As Safah Al Janubi,as safah al janubi,2268,"29.83528230,39.86892314","29.82497517,39.85433182"
2046,العزيزية,Al Azizyah,al azizyah,2268,"29.80620498,39.86949301","29.79852995,39.85024617"
2047,الملك فهد الشمالي,King Fahd Al Shimali,king fahd al shimali,2268,"29.81528095,39.85065582","29.80695493,39.84324706"
2048,الملك فهد الجنوبي,King Fahd Al Janubi,king fahd al janubi,2268,"29.80716285,39.85120947","29.79784893,39.84394915"
2049,الربوة,Ar Rabwah,ar rabwah,2268,"29.81516051,39.86251496","29.80708848,39.84981976"
2050,الفيصلية,Al Faisaliyah,al faisaliyah,2268,"29.82218093,39.86739188","29.80914633,39.84586231"
2051,الاداري,Al Edari,al edari,2268,"29.80828160,39.86249298","29.80225119,39.84975414"
2052,الصناعية,As Sinaiyah,as sinaiyah,2268,"29.80231212,39.86970382","29.79591705,39.84830215"
2053,السوق القديم,As Suq Al Qadim,as suq al qadim,2268,"29.81245739,39.86837037","29.80501233,39.86124926"
2054,الغدير الجنوبي,Al Ghadir Al Janubi,al ghadir al janubi,2268,"29.84855181,39.85432035","29.82782327,39.81781316"
2055,الخالدية,Al Khaldiyah,al khaldiyah,2268,"29.81490408,39.88849720","29.80047800,39.86699661"
2056,التحكيم,At Tahkim,at tahkim,2268,"29.83278823,39.86780697","29.81337982,39.84519253"
2057,الفاروق,Al Faruq,al faruq,2268,"29.82187903,39.88065030","29.81068103,39.86466781"
2058,الوادي ,Al Wadi,al wadi,2268,"29.84115855,39.89931649","29.82113863,39.87950212"
2059,قراطين,Qaratin,qaratin,2268,"29.83193848,39.87948322","29.81949777,39.86035619"
2060,الزراعي,Az Zirae,az zirae,2268,"29.82542279,39.90348588","29.80191570,39.87644288"
